template_id,categorie,sous_categorie,decision_type,objet_email,corps_email,variables_requises,actif
ACC_BLE_001,Acceptation Blessure,Fracture,acceptation,"Assur Connect — Prise en charge de votre dossier {{ref_dossier}}","Cher(e) {{nom_assure}},

Nous avons bien recu votre demande de remboursement concernant votre inscription a {{nom_evenement}} (dossard d'un montant de {{montant}} EUR).

Suite a l'analyse de votre dossier et du certificat medical attestant d'une fracture, nous vous confirmons la prise en charge de votre remboursement.

Le montant de {{montant}} EUR vous sera vire sous 10 jours ouvres sur le compte associe a votre souscription.

Nous vous souhaitons un prompt retablissement.

Cordialement,
L'equipe Assur Connect — BEsafe","nom_assure;ref_dossier;nom_evenement;montant",true
ACC_BLE_002,Acceptation Blessure,Entorse,acceptation,"Assur Connect — Prise en charge de votre dossier {{ref_dossier}}","Cher(e) {{nom_assure}},

Nous avons bien recu votre demande de remboursement pour {{nom_evenement}}.

Apres examen de votre certificat medical confirmant une entorse, nous avons le plaisir de vous informer que votre dossier est accepte.

Le remboursement de {{montant}} EUR sera effectue sous 10 jours ouvres.

Prenez soin de vous et bon retablissement.

Cordialement,
L'equipe Assur Connect — BEsafe","nom_assure;ref_dossier;nom_evenement;montant",true
ACC_BLE_003,Acceptation Blessure,Luxation,acceptation,"Assur Connect — Prise en charge de votre dossier {{ref_dossier}}","Cher(e) {{nom_assure}},

Nous accusons reception de votre demande de remboursement pour {{nom_evenement}}.

Le certificat medical joint a votre dossier confirme une luxation vous empechant de participer. Votre demande est acceptee.

Le remboursement de {{montant}} EUR sera effectue sous 10 jours ouvres.

Nous vous souhaitons un bon retablissement.

Cordialement,
L'equipe Assur Connect — BEsafe","nom_assure;ref_dossier;nom_evenement;montant",true
ACC_BLE_004,Acceptation Blessure,Dechirure musculaire,acceptation,"Assur Connect — Prise en charge de votre dossier {{ref_dossier}}","Cher(e) {{nom_assure}},

Nous avons etudie votre demande de remboursement pour {{nom_evenement}}.

Votre certificat medical attestant d'une dechirure musculaire a ete valide. Votre dossier est accepte.

Le remboursement de {{montant}} EUR vous sera verse sous 10 jours ouvres.

Bon courage pour votre reeducation.

Cordialement,
L'equipe Assur Connect — BEsafe","nom_assure;ref_dossier;nom_evenement;montant",true
ACC_BLE_005,Acceptation Blessure,Tendinite aigue,acceptation,"Assur Connect — Prise en charge de votre dossier {{ref_dossier}}","Cher(e) {{nom_assure}},

Votre demande de remboursement pour {{nom_evenement}} a ete examinee.

Le certificat medical confirmant une tendinite aigue incompatible avec la pratique sportive a ete valide. Votre dossier est accepte.

Le montant de {{montant}} EUR vous sera rembourse sous 10 jours ouvres.

Cordialement,
L'equipe Assur Connect — BEsafe","nom_assure;ref_dossier;nom_evenement;montant",true
ACC_BLE_006,Acceptation Blessure,Commotion cerebrale,acceptation,"Assur Connect — Prise en charge urgente de votre dossier {{ref_dossier}}","Cher(e) {{nom_assure}},

Nous avons traite en priorite votre demande de remboursement pour {{nom_evenement}}.

Le certificat medical attestant d'une commotion cerebrale a ete valide. Votre dossier est accepte sans reserve.

Le remboursement de {{montant}} EUR sera effectue sous 10 jours ouvres.

Nous vous souhaitons un retablissement complet. N'hesitez pas a nous contacter si vous avez besoin d'assistance.

Cordialement,
L'equipe Assur Connect — BEsafe","nom_assure;ref_dossier;nom_evenement;montant",true
ACC_BLE_007,Acceptation Blessure,Blessure dos/colonne,acceptation,"Assur Connect — Prise en charge de votre dossier {{ref_dossier}}","Cher(e) {{nom_assure}},

Nous avons bien recu votre demande concernant {{nom_evenement}}.

Le certificat medical attestant d'une pathologie dorsale vous empechant de participer a ete valide. Votre demande de remboursement est acceptee.

Le montant de {{montant}} EUR vous sera verse sous 10 jours ouvres.

Cordialement,
L'equipe Assur Connect — BEsafe","nom_assure;ref_dossier;nom_evenement;montant",true
ACC_BLE_008,Acceptation Blessure,Autre blessure,acceptation,"Assur Connect — Prise en charge de votre dossier {{ref_dossier}}","Cher(e) {{nom_assure}},

Nous avons examine votre demande de remboursement pour {{nom_evenement}}.

Le justificatif medical fourni a ete valide par nos services. Votre demande est acceptee conformement a l'article 2.1 de vos conditions generales.

Le remboursement de {{montant}} EUR sera effectue sous 10 jours ouvres.

Cordialement,
L'equipe Assur Connect — BEsafe","nom_assure;ref_dossier;nom_evenement;montant",true
ACC_MAL_001,Acceptation Maladie,Maladie aigue,acceptation,"Assur Connect — Prise en charge de votre dossier {{ref_dossier}}","Cher(e) {{nom_assure}},

Nous avons bien recu votre demande de remboursement pour {{nom_evenement}}.

Le certificat medical attestant d'une maladie aigue incompatible avec la participation a l'evenement a ete valide. Votre dossier est accepte.

Le remboursement de {{montant}} EUR sera effectue sous 10 jours ouvres.

Nous vous souhaitons un prompt retablissement.

Cordialement,
L'equipe Assur Connect — BEsafe","nom_assure;ref_dossier;nom_evenement;montant",true
ACC_MAL_002,Acceptation Maladie,Hospitalisation,acceptation,"Assur Connect — Prise en charge prioritaire de votre dossier {{ref_dossier}}","Cher(e) {{nom_assure}},

Nous avons pris connaissance de votre hospitalisation et traite votre dossier en priorite.

Votre demande de remboursement pour {{nom_evenement}} est acceptee. Le bulletin d'hospitalisation fourni confirme l'impossibilite de participer.

Le montant de {{montant}} EUR vous sera rembourse sous 10 jours ouvres.

Nous vous souhaitons un retablissement rapide et complet.

Cordialement,
L'equipe Assur Connect — BEsafe","nom_assure;ref_dossier;nom_evenement;montant",true
